cpu,client,node,run,data,throughput,retransmissions,congestion_window
36,1,1,1,Bitrate,,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,2.88,24.1,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,2.88,24.1,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,2.88,24.1,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,2.88,24.1,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,2.88,24.1,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,2.88,24.1,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.1,,
36,1,1,1,2.88,24.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,2.88,24.1,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,2.88,24.1,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,1,1,1,3.00,25.2,,
36,10,1,1,Bitrate,,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,2.88,24.1,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,2.88,24.1,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,2.88,24.1,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,2.88,24.1,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,2.88,24.1,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,2.88,24.1,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,2.99,25.1,,
36,10,1,1,2.89,24.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,2.88,24.1,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,2.88,24.1,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,3.00,25.2,,
36,10,1,1,128,20.9,,
36,10,2,1,Bitrate,,,
36,10,2,1,3.00,25.2,,
36,10,2,1,3.00,25.2,,
36,10,2,1,3.00,25.2,,
36,10,2,1,3.00,25.2,,
36,10,2,1,3.00,25.2,,
