cpu,client,node,run,data,throughput,retransmissions,congestion_window
18,100,1,1,2.05,17.2,96,5.34
18,100,1,1,1.17,9.81,54,1.34
18,100,1,1,2.09,17.5,90,2.67
18,100,1,1,1.06,8.89,44,13.4
18,100,1,1,1.80,15.1,86,4.01
18,100,1,1,1.25,10.5,60,2.67
18,100,1,1,1.20,10.1,69,1.34
18,100,1,1,1.75,14.7,79,4.01
18,100,1,1,1.75,14.7,58,1.34
18,100,1,1,1.55,13.0,66,2.67
18,100,1,1,1.30,10.9,55,1.34
18,100,1,1,1.52,12.8,78,2.67
18,100,1,1,1.50,12.6,71,6.68
18,100,1,1,1.93,16.2,67,2.67
18,100,1,1,1.07,8.94,51,1.34
18,100,1,1,880,7.21,42,1.34
18,100,1,1,1.48,12.4,65,2.67
18,100,1,1,1.72,14.4,80,2.67
18,100,1,1,1.23,10.3,49,2.67
18,100,1,1,1.71,14.3,86,1.34
18,100,1,1,1.88,15.7,87,4.01
18,100,1,1,844,6.91,50,1.34
18,100,1,1,1.37,11.5,54,4.01
18,100,1,1,1.49,12.5,66,2.67
18,100,1,1,1.44,12.0,73,2.67
18,100,1,1,1.93,16.2,79,2.67
18,100,1,1,759,6.22,39,1.34
18,100,1,1,1.30,10.9,50,1.34
18,100,1,1,1.65,13.9,69,4.01
18,100,1,1,1.93,16.2,97,4.01
18,100,1,1,1.82,15.3,86,8.02
18,100,1,1,1.88,15.7,82,5.34
18,100,1,1,1.43,12.0,58,2.67
18,100,1,1,1.38,11.6,61,2.67
18,100,1,1,1.06,8.86,40,2.67
18,100,1,1,1.87,15.7,77,4.01
18,100,1,1,580,4.75,28,2.67
18,100,1,1,823,6.74,41,2.67
18,100,1,1,909,7.45,42,6.68
18,100,1,1,1.35,11.4,59,6.68
18,100,1,1,1.11,9.28,49,8.02
18,100,1,1,1.29,10.8,58,1.34
18,100,1,1,1.87,15.7,77,2.67
18,100,1,1,1.45,12.1,69,1.34
18,100,1,1,576,4.72,23,4.01
18,100,1,1,1.23,10.3,46,5.34
18,100,1,1,2.01,16.9,87,2.67
18,100,1,1,1.18,9.92,58,4.01
