cpu,client,node,run,data,throughput,retransmissions,congestion_window
18,100,1,1,2.25,18.9,135,4.01
18,100,1,1,1.38,11.5,59,4.01
18,100,1,1,1.50,12.6,78,5.34
18,100,1,1,1.62,13.6,76,4.01
18,100,1,1,896,7.34,39,2.67
18,100,1,1,885,7.25,36,2.67
18,100,1,1,1.01,8.48,40,1.34
18,100,1,1,988,8.09,46,8.02
18,100,1,1,1.74,14.6,86,2.67
18,100,1,1,817,6.69,37,4.01
18,100,1,1,960,7.86,48,2.67
18,100,1,1,1.12,9.38,49,2.67
18,100,1,1,1.24,10.4,62,4.01
18,100,1,1,955,7.82,44,2.67
18,100,1,1,1.15,9.63,61,2.67
18,100,1,1,1.05,8.78,52,4.01
18,100,1,1,1019,8.35,58,2.67
18,100,1,1,1.33,11.2,61,2.67
18,100,1,1,1.10,9.24,44,1.34
18,100,1,1,756,6.19,36,2.67
18,100,1,1,1007,8.25,49,4.01
18,100,1,1,1.42,11.9,73,4.01
18,100,1,1,1.75,14.7,63,6.68
18,100,1,1,1.37,11.5,67,2.67
18,100,1,1,1.19,9.96,59,1.34
18,100,1,1,1.56,13.1,70,6.68
18,100,1,1,1.12,9.40,62,2.67
18,100,1,1,828,6.79,40,2.67
18,100,1,1,1.17,9.85,48,5.34
18,100,1,1,1.03,8.60,53,2.67
18,100,1,1,848,6.95,43,2.67
18,100,1,1,1.17,9.82,63,2.67
18,100,1,1,1.37,11.5,58,2.67
18,100,1,1,2.00,16.8,93,2.67
18,100,1,1,1.30,10.9,49,5.34
18,100,1,1,1.19,10.0,70,4.01
18,100,1,1,1.31,11.0,61,4.01
18,100,1,1,1.13,9.44,62,6.68
18,100,1,1,1.37,11.5,57,2.67
18,100,1,1,962,7.88,48,5.34
18,100,1,1,1.38,11.5,67,4.01
18,100,1,1,1.32,11.1,69,6.68
18,100,1,1,704,5.77,35,4.01
18,100,1,1,1.82,15.3,91,4.01
18,100,1,1,1.30,10.9,58,1.34
18,100,1,1,1.24,10.4,49,4.01
18,100,1,1,1.61,13.5,70,2.67
18,100,1,1,1.36,11.4,65,2.67
18,100,1,1,251,2.06,12,1.34
18,100,1,1,888,7.28,41,4.01
18,100,1,1,1.24,10.4,45,5.34
18,100,1,1,823,6.74,39,2.67
18,100,1,1,1.23,10.3,55,4.01
18,100,1,1,1.25,10.5,70,1.34
18,100,1,1,1007,8.25,36,2.67
18,100,1,1,1.48,12.4,65,2.67
18,100,1,1,502,4.11,26,1.34
18,100,1,1,446,3.66,18,6.68
18,100,1,1,1.77,14.9,74,2.67
18,100,1,1,720,5.90,48,1.34
18,100,1,1,1.55,13.0,78,4.01
18,100,1,1,699,5.73,28,1.34
18,100,1,1,1.51,12.6,77,4.01
18,100,1,1,1.37,11.5,75,1.34
18,100,1,1,711,5.83,22,1.34
18,100,1,1,1.38,11.5,60,5.34
18,100,1,1,1.68,14.1,69,2.67
18,100,1,1,1.55,13.0,58,6.68
18,100,1,1,2.10,17.7,93,4.01
18,100,1,1,1.98,16.6,85,1.34
18,100,1,1,1.62,13.6,76,2.67
18,100,1,1,1.26,10.5,65,2.67
18,100,1,1,1.30,10.9,67,2.67
18,100,1,1,1.18,9.92,49,1.34
18,100,1,1,1.43,12.0,66,2.67
18,100,1,1,1.38,11.6,58,2.67
18,100,1,1,828,6.79,45,1.34
18,100,1,1,1.20,10.1,64,2.67
18,100,1,1,768,6.29,43,4.01
18,100,1,1,1.11,9.33,51,1.34
18,100,1,1,1015,8.32,45,2.67
18,100,1,1,1.83,15.3,81,5.34
18,100,1,1,879,7.20,36,1.34
18,100,1,1,1.54,12.9,66,2.67
18,100,1,1,555,4.55,26,2.67
18,100,1,1,839,6.88,51,2.67
18,100,1,1,1.48,12.4,65,1.34
18,100,1,1,1.32,11.1,51,1.34
18,100,1,1,1.42,11.9,47,2.67
18,100,1,1,1.18,9.89,51,1.34
18,100,1,1,1.36,11.4,65,5.34
18,100,1,1,1.54,12.9,66,4.01
18,100,1,1,959,7.86,57,1.34
18,100,1,1,1.81,15.2,71,6.68
18,100,1,1,1010,8.28,54,6.68
18,100,1,1,1.62,13.6,64,4.01
18,100,1,1,1.25,10.5,59,1.34
18,100,1,1,1.52,12.8,61,2.67
18,100,1,1,210,1.72,13,1.34
18,100,1,1,1.37,11.5,65,4.01
18,100,1,1,946,7.75,52,4.01
18,100,1,1,1.24,10.4,54,4.01
18,100,1,1,1.31,11.0,68,2.67
18,100,1,1,1.51,12.7,62,6.68
18,100,1,1,1.81,15.2,80,4.01
18,100,1,1,761,6.24,29,1.34
18,100,1,1,951,7.79,50,1.34
18,100,1,1,1.51,12.6,83,4.01
18,100,1,1,1.45,12.1,82,4.01
18,100,1,1,1.04,8.72,52,2.67
18,100,1,1,1.05,8.83,71,2.67
18,100,1,1,888,7.28,44,4.01
18,100,1,1,1.17,9.77,53,1.34
18,100,1,1,768,6.29,29,5.34
18,100,1,1,1.69,14.2,72,4.01
18,100,1,1,822,6.73,54,2.67
18,100,1,1,1.63,13.7,81,2.67
18,100,1,1,62.8,1.77,4,2.67
18,100,2,1,2.25,18.9,109,5.34
18,100,2,1,1.86,15.6,61,4.01
18,100,2,1,1.82,15.3,76,2.67
18,100,2,1,1.49,12.5,61,6.68
18,100,2,1,2.32,19.4,110,4.01
18,100,2,1,1.62,13.6,66,6.68
18,100,2,1,1.86,15.6,63,4.01
18,100,2,1,2.36,19.8,98,2.67
18,100,2,1,1.72,14.5,54,2.67
18,100,2,1,1017,8.33,45,6.68
18,100,2,1,1.44,12.1,73,1.34
18,100,2,1,1.49,12.5,64,1.34
18,100,2,1,1.61,13.5,61,4.01
18,100,2,1,1.36,11.4,66,2.67
18,100,2,1,1.62,13.6,73,2.67
18,100,2,1,1.13,9.47,52,1.34
18,100,2,1,2.11,17.7,72,1.34
18,100,2,1,1.49,12.5,59,8.02
18,100,2,1,1.96,16.5,74,4.01
18,100,2,1,1.73,14.5,70,14.7
18,100,2,1,1.61,13.5,74,1.34
18,100,2,1,1.35,11.3,65,4.01
18,100,2,1,2.00,16.8,86,2.67
18,100,2,1,1.30,10.9,63,2.67
18,100,2,1,1.48,12.4,60,2.67
18,100,2,1,1.04,8.70,49,1.34
18,100,2,1,1.81,15.2,64,1.34
18,100,2,1,445,3.64,16,2.67
18,100,2,1,1.12,9.36,52,4.01
18,100,2,1,1.44,12.1,56,1.34
18,100,2,1,1.93,16.2,73,4.01
18,100,2,1,1.37,11.5,55,1.34
18,100,2,1,1.65,13.9,61,2.67
18,100,2,1,1.38,11.5,70,1.34
18,100,2,1,1.56,13.1,75,5.34
18,100,2,1,2.11,17.7,78,6.68
18,100,2,1,843,6.91,43,2.67
18,100,2,1,1.73,14.5,74,2.67
18,100,2,1,891,7.30,33,2.67
18,100,2,1,1.98,16.6,72,4.01
18,100,2,1,1.92,16.1,85,8.02
18,100,2,1,1.62,13.6,79,2.67
18,100,2,1,1.35,11.3,57,2.67
18,100,2,1,1.48,12.4,58,2.67
18,100,2,1,2.23,18.7,78,9.35
18,100,2,1,2.18,18.3,88,4.01
18,100,2,1,1.99,16.7,89,2.67
18,100,2,1,1022,8.37,43,4.01
18,100,2,1,1.39,11.6,53,1.34
18,100,2,1,858,7.03,35,6.68
18,100,2,1,1.72,14.4,67,1.34
18,100,2,1,1.81,15.2,81,5.34
18,100,2,1,1.30,10.9,66,1.34
18,100,2,1,950,7.78,43,2.67
18,100,2,1,1.78,14.9,65,4.01
18,100,2,1,2.12,17.8,80,5.34
18,100,2,1,1.61,13.5,65,4.01
18,100,2,1,2.13,17.9,79,4.01
18,100,2,1,1.76,14.8,57,4.01
18,100,2,1,1.18,9.86,60,2.67
18,100,2,1,1.24,10.4,48,4.01
18,100,2,1,1.63,13.7,67,1.34
18,100,2,1,1.67,14.0,63,2.67
18,100,2,1,1.87,15.7,67,2.67
18,100,2,1,2.10,17.6,58,4.01
18,100,2,1,1.99,16.7,68,4.01
18,100,2,1,1.61,13.5,58,1.34
18,100,2,1,1.67,14.0,69,4.01
18,100,2,1,1.17,9.78,50,1.34
18,100,2,1,1.88,15.7,73,4.01
18,100,2,1,1.80,15.1,59,4.01
18,100,2,1,1.63,13.6,70,2.67
18,100,2,1,1.81,15.2,79,2.67
18,100,2,1,1.51,12.7,78,4.01
18,100,2,1,2.31,19.4,103,4.01
18,100,2,1,2.17,18.2,77,2.67
18,100,2,1,1.89,15.9,54,2.67
18,100,2,1,1.50,12.6,54,2.67
18,100,2,1,1.81,15.2,60,1.34
18,100,2,1,1.81,15.2,78,4.01
18,100,2,1,1.86,15.6,70,4.01
18,100,2,1,1.86,15.6,79,4.01
18,100,2,1,2.16,18.1,71,5.34
18,100,2,1,1.94,16.3,76,2.67
18,100,2,1,2.12,17.8,85,6.68
18,100,2,1,1.31,11.0,47,1.34
18,100,2,1,1.13,9.44,37,9.35
18,100,2,1,2.18,18.3,90,2.67
18,100,2,1,1.55,13.0,60,2.67
18,100,2,1,1.26,10.6,65,5.34
18,100,2,1,1.81,15.2,67,2.67
18,100,2,1,1.81,15.1,68,2.67
18,100,2,1,1.23,10.3,39,4.01
18,100,2,1,1.73,14.5,64,5.34
18,100,2,1,2.18,18.3,96,6.68
18,100,2,1,1.88,15.8,75,2.67
18,100,2,1,1.63,13.6,62,2.67
18,100,2,1,1.74,14.6,74,4.01
18,100,2,1,2.01,16.9,77,4.01
18,100,2,1,1.70,14.2,79,6.68
18,100,2,1,1.74,14.6,57,2.67
18,100,2,1,1022,8.37,45,2.67
18,100,2,1,1.99,16.7,76,1.34
18,100,2,1,1.67,14.0,61,1.34
18,100,2,1,2.15,18.1,82,8.02
18,100,2,1,1.75,14.7,66,4.01
18,100,2,1,1.56,13.1,67,5.34
18,100,2,1,2.04,17.1,77,8.02
18,100,2,1,1.52,12.8,65,2.67
18,100,2,1,2.05,17.2,78,2.67
18,100,2,1,1.66,13.9,58,2.67
18,100,2,1,2.10,17.6,94,1.34
18,100,2,1,1.43,12.0,64,2.67
18,100,2,1,2.19,18.3,78,2.67
18,100,2,1,2.50,21.0,88,2.67
18,100,2,1,440,3.60,25,1.34
18,100,2,1,761,6.24,32,2.67
18,100,2,1,759,21.4,22,2.67
18,100,3,1,1.50,12.6,74,1.34
18,100,3,1,1.57,13.2,73,1.34
18,100,3,1,1.64,13.8,68,4.01
18,100,3,1,1.88,15.8,90,5.34
18,100,3,1,1.10,9.19,45,1.34
18,100,3,1,430,3.52,23,2.67
18,100,3,1,1.38,11.6,60,6.68
18,100,3,1,1.96,16.5,88,2.67
18,100,3,1,1.13,9.46,45,1.34
18,100,3,1,2.05,17.2,81,6.68
18,100,3,1,1.63,13.6,63,2.67
18,100,3,1,985,8.07,49,2.67
18,100,3,1,1.16,9.76,51,2.67
18,100,3,1,2.05,17.2,84,2.67
18,100,3,1,1.20,10.1,42,1.34
18,100,3,1,1.12,9.44,49,5.34
18,100,3,1,1.81,15.2,78,2.67
18,100,3,1,1.54,13.0,59,4.01
18,100,3,1,1.84,15.4,86,4.01
18,100,3,1,1.13,9.46,51,2.67
18,100,3,1,1.54,13.0,66,5.34
18,100,3,1,1.14,9.54,43,6.68
18,100,3,1,1.74,14.6,78,5.34
18,100,3,1,1.75,14.7,81,2.67
18,100,3,1,1.34,11.2,69,2.67
18,100,3,1,811,6.64,41,6.68
18,100,3,1,1.59,13.3,76,1.34
18,100,3,1,727,5.95,45,1.34
18,100,3,1,1.25,10.5,55,2.67
18,100,3,1,1.29,10.9,48,5.34
18,100,3,1,1.34,11.2,59,2.67
18,100,3,1,1.75,14.7,87,2.67
18,100,3,1,1.67,14.0,73,2.67
18,100,3,1,1.46,12.3,61,4.01
18,100,3,1,1.88,15.8,76,6.68
18,100,3,1,2.00,16.8,80,2.67
18,100,3,1,1.80,15.1,80,2.67
18,100,3,1,1.46,12.3,61,2.67
18,100,3,1,1.04,8.76,55,1.34
18,100,3,1,598,4.90,27,1.34
18,100,3,1,624,5.11,31,2.67
18,100,3,1,1.31,11.0,51,1.34
18,100,3,1,1.44,12.1,64,4.01
